2025-12-09 16:23:32 - INFO - Loading data...
2025-12-09 16:23:33 - INFO - Loaded 25287 rows
2025-12-09 16:23:33 - INFO - === Before loading ===
2025-12-09 16:23:33 - INFO - RAM: 16.5GB used / 404.3GB total
2025-12-09 16:23:33 - INFO - GPU: 0.0GB allocated
2025-12-09 16:23:33 - INFO - Loading tokenizer from local cache …
2025-12-09 16:23:33 - INFO - Tokenizer loaded in 0.36s
2025-12-09 16:23:33 - INFO - === After tokenizer ===
2025-12-09 16:23:33 - INFO - RAM: 16.7GB used / 404.3GB total
2025-12-09 16:23:33 - INFO - GPU: 0.0GB allocated
2025-12-09 16:23:33 - INFO - Loading model from local cache …
2025-12-09 16:24:13 - INFO - Model loaded in 39.77s
2025-12-09 16:24:13 - INFO - === After model loading ===
2025-12-09 16:24:13 - INFO - RAM: 17.1GB used / 404.3GB total
2025-12-09 16:24:13 - INFO - GPU: 34.6GB allocated
2025-12-09 16:24:13 - INFO - Generating responses for 25287 prompts...
2025-12-09 16:25:21 - INFO - Processed 10/25287 rows
2025-12-09 16:27:20 - INFO - Processed 20/25287 rows
2025-12-09 16:27:40 - INFO - Processed 30/25287 rows
2025-12-09 16:28:07 - INFO - Processed 40/25287 rows
2025-12-09 16:30:14 - INFO - Processed 50/25287 rows
2025-12-09 16:30:26 - INFO - Processed 60/25287 rows
2025-12-09 16:41:25 - INFO - Processed 70/25287 rows
2025-12-09 16:46:59 - INFO - Processed 80/25287 rows
2025-12-09 16:57:23 - INFO - Processed 90/25287 rows
2025-12-09 17:02:45 - INFO - Processed 100/25287 rows
2025-12-09 17:03:13 - INFO - Processed 110/25287 rows
2025-12-09 17:03:19 - INFO - Processed 120/25287 rows
2025-12-09 17:03:33 - INFO - Processed 130/25287 rows
2025-12-09 17:04:32 - INFO - Processed 140/25287 rows
2025-12-09 17:10:28 - INFO - Processed 150/25287 rows
2025-12-09 17:17:48 - INFO - Processed 160/25287 rows
2025-12-09 17:23:10 - INFO - Processed 170/25287 rows
2025-12-09 17:28:34 - INFO - Processed 180/25287 rows
2025-12-09 17:28:53 - INFO - Processed 190/25287 rows
2025-12-09 17:29:05 - INFO - Processed 200/25287 rows
2025-12-09 17:29:20 - INFO - Processed 210/25287 rows
2025-12-09 17:29:38 - INFO - Processed 220/25287 rows
2025-12-09 17:31:46 - INFO - Processed 230/25287 rows
2025-12-09 17:31:52 - INFO - Processed 240/25287 rows
2025-12-09 17:37:16 - INFO - Processed 250/25287 rows
2025-12-09 17:42:56 - INFO - Processed 260/25287 rows
2025-12-09 17:48:10 - INFO - Processed 270/25287 rows
2025-12-09 17:53:26 - INFO - Processed 280/25287 rows
2025-12-09 17:58:41 - INFO - Processed 290/25287 rows
2025-12-09 17:59:28 - INFO - Processed 300/25287 rows
2025-12-09 18:04:56 - INFO - Processed 310/25287 rows
2025-12-09 18:05:11 - INFO - Processed 320/25287 rows
2025-12-09 18:07:41 - INFO - Processed 330/25287 rows
2025-12-09 18:18:06 - INFO - Processed 340/25287 rows
2025-12-09 18:18:36 - INFO - Processed 350/25287 rows
2025-12-09 18:19:21 - INFO - Processed 360/25287 rows
2025-12-09 18:28:30 - INFO - Processed 370/25287 rows
2025-12-09 18:28:41 - INFO - Processed 380/25287 rows
2025-12-09 18:29:19 - INFO - Processed 390/25287 rows
2025-12-09 18:29:27 - INFO - Processed 400/25287 rows
2025-12-09 18:29:45 - INFO - Processed 410/25287 rows
2025-12-09 18:32:18 - INFO - Processed 420/25287 rows
2025-12-09 18:32:26 - INFO - Processed 430/25287 rows
2025-12-09 18:38:02 - INFO - Processed 440/25287 rows
2025-12-09 18:40:55 - INFO - Processed 450/25287 rows
2025-12-09 18:41:31 - INFO - Processed 460/25287 rows
2025-12-09 18:47:02 - INFO - Processed 470/25287 rows
2025-12-09 18:50:11 - INFO - Processed 480/25287 rows
2025-12-09 18:53:08 - INFO - Processed 490/25287 rows
2025-12-09 18:54:05 - INFO - Processed 500/25287 rows
2025-12-09 18:54:24 - INFO - Processed 510/25287 rows
2025-12-09 19:00:06 - INFO - Processed 520/25287 rows
2025-12-09 19:00:36 - INFO - Processed 530/25287 rows
2025-12-09 19:00:51 - INFO - Processed 540/25287 rows
2025-12-09 19:06:22 - INFO - Processed 550/25287 rows
2025-12-09 19:11:34 - INFO - Processed 560/25287 rows
2025-12-09 19:20:11 - INFO - Processed 570/25287 rows
2025-12-09 19:25:24 - INFO - Processed 580/25287 rows
2025-12-09 19:33:11 - INFO - Processed 590/25287 rows
2025-12-09 19:33:25 - INFO - Processed 600/25287 rows
2025-12-09 19:34:32 - INFO - Processed 610/25287 rows
2025-12-09 19:39:50 - INFO - Processed 620/25287 rows
2025-12-09 19:45:08 - INFO - Processed 630/25287 rows
2025-12-09 19:45:31 - INFO - Processed 640/25287 rows
2025-12-09 19:45:48 - INFO - Processed 650/25287 rows
2025-12-09 19:48:35 - INFO - Processed 660/25287 rows
2025-12-09 19:48:51 - INFO - Processed 670/25287 rows
2025-12-09 19:54:17 - INFO - Processed 680/25287 rows
2025-12-09 19:54:40 - INFO - Processed 690/25287 rows
2025-12-09 19:54:52 - INFO - Processed 700/25287 rows
2025-12-09 19:55:12 - INFO - Processed 710/25287 rows
2025-12-09 20:00:09 - INFO - Processed 720/25287 rows
2025-12-09 20:05:27 - INFO - Processed 730/25287 rows
2025-12-09 20:05:48 - INFO - Processed 740/25287 rows
2025-12-09 20:06:01 - INFO - Processed 750/25287 rows
2025-12-09 20:12:13 - INFO - Processed 760/25287 rows
2025-12-09 20:12:32 - INFO - Processed 770/25287 rows
2025-12-09 20:17:53 - INFO - Processed 780/25287 rows
2025-12-09 20:29:05 - INFO - Processed 790/25287 rows
2025-12-09 20:29:12 - INFO - Processed 800/25287 rows
2025-12-09 20:29:26 - INFO - Processed 810/25287 rows
2025-12-09 20:29:56 - INFO - Processed 820/25287 rows
2025-12-09 20:32:23 - INFO - Processed 830/25287 rows
2025-12-09 20:37:53 - INFO - Processed 840/25287 rows
2025-12-09 20:38:52 - INFO - Processed 850/25287 rows
2025-12-09 20:44:06 - INFO - Processed 860/25287 rows
2025-12-09 20:49:45 - INFO - Processed 870/25287 rows
2025-12-09 20:50:32 - INFO - Processed 880/25287 rows
2025-12-09 20:51:51 - INFO - Processed 890/25287 rows
2025-12-09 20:58:13 - INFO - Processed 900/25287 rows
2025-12-09 20:59:38 - INFO - Processed 910/25287 rows
2025-12-09 21:01:01 - INFO - Processed 920/25287 rows
2025-12-09 21:01:11 - INFO - Processed 930/25287 rows
2025-12-09 21:03:45 - INFO - Processed 940/25287 rows
2025-12-09 21:04:17 - INFO - Processed 950/25287 rows
2025-12-09 21:05:59 - INFO - Processed 960/25287 rows
2025-12-09 21:09:05 - INFO - Processed 970/25287 rows
2025-12-09 21:14:25 - INFO - Processed 980/25287 rows
2025-12-09 21:17:35 - INFO - Processed 990/25287 rows
2025-12-09 21:17:45 - INFO - Processed 1000/25287 rows
2025-12-09 21:25:32 - INFO - Processed 1010/25287 rows
2025-12-09 21:26:11 - INFO - Processed 1020/25287 rows
2025-12-09 21:26:21 - INFO - Processed 1030/25287 rows
2025-12-09 21:31:27 - INFO - Processed 1040/25287 rows
2025-12-09 21:36:51 - INFO - Processed 1050/25287 rows
2025-12-09 21:42:06 - INFO - Processed 1060/25287 rows
2025-12-09 21:42:12 - INFO - Processed 1070/25287 rows
